model,epoch,training_mse,validation_mse
cost aware,1,36.208825,34.318584
cost aware,25,22.541708,21.386633
cost aware,50,8.179341,7.866446
cost aware,75,6.476212,6.458377
cost aware,100,6.335713,6.263036
cost aware,200,5.250755,5.551197
cost aware,400,4.796480,4.876888
cost aware,600,4.682303,4.657372
cost aware,800,4.579194,4.535423
cost aware,1000,4.481320,4.448188
cost aware,1200,4.326731,4.388876
cost aware,1400,4.426764,4.338273
cost aware,1600,4.259127,4.298288
cost aware,1800,4.074585,4.266452
