previous_position,trade_without_cost,trade_with_cost
0.00,0.637910,0.584886
0.05,0.584522,0.530587
0.10,0.531218,0.477693
0.15,0.477990,0.426199
0.20,0.424833,0.376077
0.25,0.371741,0.327283
0.30,0.318714,0.279761
0.35,0.265754,0.233444
0.40,0.212873,0.188258
0.45,0.160086,0.144123
0.50,0.107420,0.100958
0.55,0.054908,0.058679
0.60,0.002592,0.017203
0.65,-0.049478,-0.023553
0.70,-0.101245,-0.063672
0.75,-0.152650,-0.103234
0.80,-0.203631,-0.142318
0.85,-0.254129,-0.181001
0.90,-0.304090,-0.219359
0.95,-0.353467,-0.257467
1.00,-0.402225,-0.295397
